id,name,region,population,num_cities,urban_ratio,avg_salary,entrepreneur_1000,num_municipality_pop_0-499,num_municipality_pop_500-1999,num_municipality_pop_2000-9999,num_municipality_pop_10000+,unemployment_rate_95,unemployment_rate_96,commited_crimes_95,commited_crimes_96
24,Karlovy Vary,west Bohemia,122603,8,80.0,8991,128,25,21,6,2,1,1,5198,5198
25,Klatovy,west Bohemia,88757,10,61.7,8554,113,60,33,3,2,2,2,1822,1822
26,Plzen - mesto,west Bohemia,170449,1,100.0,10787,131,0,0,0,1,2,2,6041,6041
27,Plzen - jih,west Bohemia,67298,7,43.8,8561,110,71,19,10,0,0,0,1029,1029
28,Plzen - sever,west Bohemia,72541,8,36.9,8594,112,66,26,10,0,1,1,1580,1580
29,Rokycany,west Bohemia,45714,6,55.6,8843,113,52,10,5,1,2,2,818,818
30,Sokolov,west Bohemia,94812,10,81.8,9650,100,15,13,8,2,3,3,2985,2985
31,Tachov,west Bohemia,51313,4,59.2,8930,108,34,12,3,1,3,3,1328,1328
32,Ceska Lipa,north Bohemia,105058,10,81.0,9272,118,32,19,7,2,2,2,4340,4340
33,Decin,north Bohemia,133777,11,84.7,8705,116,24,17,7,3,5,5,4650,4650
34,Chomutov,north Bohemia,125236,5,87.7,9675,100,28,11,1,4,6,6,5323,5323
35,Jablonec n. Nisou,north Bohemia,88768,7,80.5,8867,130,10,18,5,1,1,1,3384,3384
36,Liberec,north Bohemia,159617,9,85.2,9198,131,29,19,8,1,3,3,5796,5796
37,Litomerice,north Bohemia,114006,9,62.3,9065,123,71,26,6,2,4,4,4147,4147
38,Louny,north Bohemia,85852,4,59.8,8965,104,41,23,4,2,7,7,2653,2653
39,Most,north Bohemia,119895,4,89.9,10446,90,17,4,3,2,7,7,4947,4947
40,Teplice,north Bohemia,128118,8,85.3,9317,97,9,16,6,3,6,6,6949,6949
41,Usti nad Labem,north Bohemia,118650,3,85.6,9832,114,8,8,5,1,3,3,6445,6445
42,Havlickuv Brod,east Bohemia,95907,7,59.1,8388,87,87,25,5,2,2,2,1658,1658
43,Hradec Kralove,east Bohemia,161854,6,76.3,9425,125,73,21,6,1,1,1,4085,4085
44,Chrudim,east Bohemia,105606,7,53.0,8254,97,77,26,7,2,2,2,2166,2166
45,Jicin,east Bohemia,77917,5,53.5,8390,132,85,19,6,1,2,2,2080,2080
46,Nachod,east Bohemia,112709,10,73.5,8369,117,48,20,7,3,1,1,2854,2854
47,Pardubice,east Bohemia,162580,6,72.8,9538,111,83,26,5,1,1,1,6079,6079
48,Rychnov nad Kneznou,east Bohemia,78955,9,59.0,9060,124,50,24,8,1,1,1,1655,1655
49,Semily,east Bohemia,75685,9,60.8,8208,155,31,28,5,1,1,1,1660,1660
50,Svitavy,east Bohemia,102609,6,52.0,8187,94,75,33,2,3,4,4,2123,2123
51,Trutnov,east Bohemia,121947,11,70.5,8541,131,37,28,7,3,2,2,3496,3496
52,Usti nad Orlici,east Bohemia,139012,10,61.9,8363,108,59,41,8,3,2,2,2564,2564
53,Blansko,south Moravia,107911,7,50.9,8240,99,88,33,6,2,2,2,1850,1850
54,Brno - mesto,south Moravia,387570,1,100.0,9897,140,0,0,0,1,1,1,18721,18721
55,Brno - venkov,south Moravia,157042,9,33.9,8743,111,49,70,18,0,1,1,3659,3659
56,Breclav,south Moravia,124605,8,46.0,8772,126,11,42,14,1,4,4,2854,2854
57,Hodonin,south Moravia,161954,8,48.0,8720,116,21,37,20,3,3,3,3729,3729
58,Jihlava,south Moravia,109164,4,63.6,8757,96,98,16,6,1,3,3,2212,2212
59,Kromeriz,south Moravia,108871,6,62.1,8444,106,41,29,7,2,3,3,2595,2595
60,Prostejov,south Moravia,110643,4,51.9,8441,115,49,41,4,1,3,3,1879,1879
61,Trebic,south Moravia,117897,6,53.8,8814,107,139,28,5,1,4,4,2112,2112
62,Uherske Hradiste,south Moravia,145688,5,40.7,8544,109,22,41,13,2,1,1,2719,2719
63,Vyskov,south Moravia,86513,5,50.5,8288,110,38,36,5,1,3,3,1562,1562
64,Zlin,south Moravia,197099,10,74.7,9624,145,29,41,10,2,1,1,4484,4484
65,Znojmo,south Moravia,114200,4,43.7,8403,105,101,41,4,1,5,5,2157,2157
66,Zdar nad Sazavou,south Moravia,125832,5,48.3,8512,102,151,41,2,3,3,3,2247,2247
67,Bruntal,north Moravia,106054,6,63.1,8110,109,38,25,6,2,5,5,3244,3244
68,Frydek - Mistek,north Moravia,228848,6,57.2,9893,96,15,40,18,2,4,4,5623,5623
69,Jesenik,north Moravia,42821,3,48.4,8173,124,4,13,5,1,,,,
70,Karvina,north Moravia,285387,7,89.9,10177,81,0,2,8,5,6,6,9878,9878
71,Novy Jicin,north Moravia,161227,10,69.7,8678,102,5,35,11,4,5,5,4980,4980
72,Olomouc,north Moravia,226122,4,62.6,8994,110,32,50,7,4,3,3,9672,9672
73,Opava,north Moravia,182027,7,56.4,8746,90,17,49,12,2,3,3,4355,4355
74,Ostrava - mesto,north Moravia,323870,1,100.0,10673,100,0,0,0,1,4,4,18782,18782
75,Prerov,north Moravia,138032,5,64.6,8819,99,67,30,4,2,5,5,4063,4063
76,Sumperk,north Moravia,127369,7,51.2,8369,107,31,32,13,2,4,4,3736,3736
77,Vsetin,north Moravia,148545,4,53.5,8909,113,8,35,12,3,4,4,3460,3460
